created_at,temp_cria,temp_mielera,temp_exterior,humedad_cria,humedad_mielera,humedad_exterior,peso_total,peso_mielera
2026-02-12 12:00:00-05:00,,,,,,,3.77,
2026-02-13 00:00:00-05:00,26.71746031746032,,,67.7642857142857,,,13.93,
2026-02-13 12:00:00-05:00,28.43372093023256,,27.98395061728395,63.37093023255814,,52.9125,11.78,
2026-02-14 00:00:00-05:00,38.185561497326205,,34.987165775401074,62.53903743315507,,40.57754010695187,18.9,
2026-02-14 12:00:00-05:00,34.97098186366479,,28.05609756097561,65.34315196998124,,56.59724828017511,18.45,
2026-02-15 00:00:00-05:00,36.97452229299363,,33.723991507430995,68.45414012738854,,44.681528662420384,19.15,
2026-02-15 12:00:00-05:00,35.08155401137081,,28.065887555274795,64.17586860391661,,57.5085281111813,19.35,
2026-02-16 00:00:00-05:00,35.41939237233355,,27.523981900452487,68.29444085326438,,63.54492566257272,19.8,
2026-02-16 12:00:00-05:00,34.98069204152249,,26.13453287197232,64.47861591695502,,66.70934256055364,19.41,
2026-02-17 00:00:00-05:00,37.595957446808505,,35.27595744680851,68.98404255319149,,41.93404255319149,13.82,
2026-02-17 12:00:00-05:00,35.34712103407756,,27.981374853113984,62.27215041128085,,56.73678025851939,19.23,
2026-02-18 00:00:00-05:00,34.91761049723757,,25.39364640883978,69.9850138121547,,69.11533149171271,19.43,
2026-02-18 12:00:00-05:00,35.63150395778364,,29.227704485488125,62.65836411609499,,55.874934036939315,19.19,
2026-02-19 00:00:00-05:00,35.68682977615825,,27.63206663196252,68.97277459656429,,63.35085892764185,19.92,
2026-02-19 12:00:00-05:00,35.46637075718016,,28.589712793733682,64.70391644908617,,57.121671018276764,19.3,
2026-02-20 00:00:00-05:00,35.75244791666667,,28.3834375,68.77880208333333,,61.5640625,19.91,
2026-02-20 12:00:00-05:00,35.46598209583991,,28.54855186940495,64.96340179041601,,57.39336492890995,19.39,
2026-02-21 00:00:00-05:00,35.84560582423297,,28.828809152366095,69.68200728029122,,59.95683827353094,20.01,
2026-02-21 12:00:00-05:00,35.473263157894735,,27.909,64.6178947368421,,61.002105263157894,19.64,
2026-02-22 00:00:00-05:00,35.28743362831858,,24.45061946902655,67.83238938053098,,75.2141592920354,19.48,
2026-02-22 12:00:00-05:00,35.1596921322691,,27.20165336374002,68.13494868871152,,65.7976054732041,21.83,
2026-02-23 00:00:00-05:00,35.552656250000005,,27.715052083333333,70.12927083333334,,67.14479166666666,20.55,
2026-02-23 12:00:00-05:00,35.147624020887726,,28.39702349869452,67.00177545691906,,58.97545691906005,20.02,
2026-02-24 00:00:00-05:00,35.602863092139515,,28.649505465903175,69.75653305570015,,61.467985424258195,20.83,
2026-02-24 12:00:00-05:00,34.975417536534444,,29.659655532359082,68.68314196242171,,52.23173277661795,21.06,
