created_at;temp_cria;temp_mielera;temp_exterior;humedad_cria;humedad_mielera;humedad_exterior;peso_total;peso_mielera;estado;temp_mean;temp_min;temp_max;temp_std;temp_cv;pct_tiempo_optimo
2026-02-28 12:00:00-05:00;34.51237598;;28.5797389;63.01258486;;51.20992167;21.29;;Normal;34.98534202;26.71746032;38.1855615;2.103620175;6.012861539;81.81818182
2026-03-01 00:00:00-05:00;35.18593832;;27.08510193;66.66199686;;56.93831678;21.91;;Normal;34.9914207;26.71746032;38.1855615;2.070784668;5.917978256;82.35294118
2026-03-01 12:00:00-05:00;34.38543081;;28.17550914;56.3167624;;42.49712794;21.32;;Normal;34.97359746;26.71746032;38.1855615;2.041814371;5.83815941;82.85714286
2026-03-02 00:00:00-05:00;35.11807732;;25.80877743;65.52863114;;58.31295716;22.03;;Normal;34.97772546;26.71746032;38.1855615;2.011711838;5.751408392;83.33333333
2026-03-02 12:00:00-05:00;34.55186744;;27.23845345;58.24145187;;48.66175697;21.41;;Normal;34.96589607;26.71746032;38.1855615;1.984034785;5.674199744;83.78378378
2026-03-03 00:00:00-05:00;35.1244898;;25.73547881;66.19387755;;57.21193093;21.93;;Normal;34.97018239;26.71746032;38.1855615;1.956458416;5.594647446;84.21052632
2026-03-03 12:00:00-05:00;34.62883436;;27.04460626;58.05447853;;52.26752967;21.47;;Normal;34.96119954;26.71746032;38.1855615;1.930632969;5.522216039;84.61538462
2026-03-04 00:00:00-05:00;35.00313505;;25.63424437;62.57676849;;61.22508039;22.13;;Normal;34.96227481;26.71746032;38.1855615;1.905072377;5.448937138;85
2026-03-04 12:00:00-05:00;34.41842932;;27.83314136;59.75816754;;49.22984293;21.7;;Normal;34.94867868;26.71746032;38.1855615;1.882454771;5.38634032;85.36585366
2026-03-05 00:00:00-05:00;35.13818939;;26.4292924;62.63766909;;59.48907388;22.21;;Normal;34.95330089;26.71746032;38.1855615;1.859010765;5.318555666;85.71428571
2026-03-05 12:00:00-05:00;34.37926003;;27.96326212;58.96503387;;51.71651902;21.85;;Normal;34.93963325;26.71746032;38.1855615;1.83833513;5.261460866;86.04651163
