created_at,temp_cria,temp_mielera,temp_exterior,humedad_cria,humedad_mielera,humedad_exterior,peso_total,peso_mielera
2026-02-12 22:00:00-05:00,,,,,,,2.99,
2026-02-12 22:30:00-05:00,,,,,,,3.77,
2026-02-13 10:00:00-05:00,26.4,,,68.9,,,13.93,
2026-02-13 10:30:00-05:00,26.625396825396827,,,68.22222222222223,,,13.93,
2026-02-13 11:00:00-05:00,26.784000000000002,,,67.318,,,13.93,
2026-02-13 11:30:00-05:00,26.95,,,67.125,,,13.93,
2026-02-13 12:00:00-05:00,27.0,,,67.08,,,13.93,
2026-02-13 13:00:00-05:00,,,,,,,13.93,
2026-02-13 14:30:00-05:00,,,,,,,13.93,
2026-02-13 15:00:00-05:00,,,,,,,13.93,
2026-02-13 19:00:00-05:00,28.068181818181817,,28.826315789473686,64.45,,51.31578947368421,0.12,
2026-02-13 19:30:00-05:00,27.660377358490567,,28.00188679245283,64.5811320754717,,53.094339622641506,11.81,
2026-02-13 22:30:00-05:00,37.800000000000004,,26.1,45.63333333333333,,55.5,11.78,
2026-02-14 10:00:00-05:00,,,,,,,18.64,
2026-02-14 10:30:00-05:00,39.98846153846154,,35.125,54.57115384615384,,40.59615384615385,16.14,
2026-02-14 11:00:00-05:00,37.59117647058823,,34.88823529411765,65.32941176470588,,40.60294117647059,18.87,
2026-02-14 11:30:00-05:00,37.38955223880597,,34.98059701492537,65.8910447761194,,40.53731343283582,18.9,
2026-02-14 12:00:00-05:00,36.81029411764706,,36.16764705882353,65.71323529411765,,38.470588235294116,19.0,
2026-02-14 12:30:00-05:00,37.17794117647059,,36.67794117647059,68.38823529411764,,36.80882352941177,19.03,
2026-02-14 13:00:00-05:00,36.46176470588235,,35.101470588235294,68.175,,39.529411764705884,19.04,
2026-02-14 13:30:00-05:00,35.72941176470588,,33.31911764705882,69.12941176470588,,42.98529411764706,19.02,
2026-02-14 14:00:00-05:00,35.3171875,,31.496875,64.4421875,,45.296875,19.07,
2026-02-14 14:30:00-05:00,34.77462686567164,,30.211940298507464,61.223880597014926,,46.0,18.96,
2026-02-14 15:00:00-05:00,34.58688524590164,,29.337704918032784,65.14754098360656,,48.442622950819676,18.88,
2026-02-14 15:30:00-05:00,34.630303030303025,,28.52878787878788,67.71363636363637,,50.63636363636363,18.84,
2026-02-14 16:00:00-05:00,34.63235294117647,,28.429411764705883,63.3,,51.05882352941177,18.8,
2026-02-14 16:30:00-05:00,34.752307692307696,,27.84,63.83384615384615,,53.43076923076923,18.79,
2026-02-14 17:00:00-05:00,34.819402985074625,,27.470149253731343,65.62388059701493,,55.19402985074627,18.79,
2026-02-14 17:30:00-05:00,34.60151515151516,,27.413636363636364,62.08787878787879,,56.621212121212125,18.75,
2026-02-14 18:00:00-05:00,34.5171875,,26.6390625,62.8,,59.109375,18.76,
2026-02-14 18:30:00-05:00,34.46911764705882,,26.474999999999998,61.347058823529416,,60.205882352941174,18.72,
2026-02-14 19:00:00-05:00,34.515151515151516,,26.015151515151516,63.577272727272735,,62.196969696969695,18.68,
2026-02-14 19:30:00-05:00,34.67205882352942,,25.758823529411764,63.06029411764706,,62.720588235294116,18.66,
2026-02-14 20:00:00-05:00,34.62985074626866,,25.423880597014925,64.41492537313434,,64.13432835820896,18.62,
2026-02-14 20:30:00-05:00,34.55074626865672,,25.47910447761194,64.0134328358209,,65.5223880597015,18.6,
2026-02-14 21:00:00-05:00,34.594029850746274,,25.05373134328358,65.22985074626865,,66.70149253731343,18.57,
2026-02-14 21:30:00-05:00,34.553030303030305,,24.475757575757576,67.00757575757575,,68.39393939393939,18.53,
2026-02-14 22:00:00-05:00,34.5,,24.494029850746266,67.04925373134328,,68.98507462686567,18.53,
2026-02-14 22:30:00-05:00,34.51764705882353,,24.32794117647059,68.86617647058823,,69.69117647058823,18.5,
2026-02-14 23:00:00-05:00,34.680597014925375,,23.619402985074625,68.26119402985074,,72.34328358208955,18.48,
2026-02-14 23:30:00-05:00,34.675000000000004,,23.445588235294117,67.48823529411764,,73.32352941176471,18.45,
2026-02-15 00:00:00-05:00,34.730000000000004,,23.5,66.08500000000001,,72.5,18.46,
2026-02-15 08:30:00-05:00,37.14222222222222,,32.54666666666667,66.82000000000001,,46.82222222222222,18.95,
2026-02-15 09:00:00-05:00,37.23970588235294,,33.50588235294118,67.69264705882354,,44.44117647058823,19.11,
2026-02-15 09:30:00-05:00,37.13823529411765,,33.436764705882354,68.1735294117647,,45.0,19.16,
2026-02-15 10:00:00-05:00,37.07794117647059,,34.41323529411765,69.99852941176471,,43.1764705882353,19.16,
2026-02-15 10:30:00-05:00,37.25303030303031,,34.00606060606061,70.60909090909091,,44.28787878787879,19.14,
2026-02-15 11:00:00-05:00,36.872058823529414,,35.247058823529414,67.61764705882354,,41.705882352941174,19.15,
2026-02-15 11:30:00-05:00,36.8235294117647,,35.529411764705884,68.47500000000001,,39.86764705882353,19.15,
2026-02-15 12:00:00-05:00,37.05223880597015,,35.65820895522388,67.4731343283582,,39.62686567164179,19.13,
2026-02-15 12:30:00-05:00,36.923529411764704,,35.17205882352941,65.96323529411765,,40.588235294117645,19.13,
2026-02-15 13:00:00-05:00,36.525373134328355,,33.786567164179104,66.35074626865672,,44.38805970149254,19.04,
2026-02-15 13:30:00-05:00,35.79117647058824,,32.30882352941177,64.94411764705882,,46.205882352941174,19.0,
2026-02-15 14:00:00-05:00,35.329850746268654,,30.661194029850748,64.96567164179105,,48.28358208955224,19.09,
2026-02-15 14:30:00-05:00,35.158461538461545,,30.396923076923077,65.53692307692307,,49.56923076923077,19.06,
2026-02-15 15:00:00-05:00,34.94,,29.664615384615384,66.0323076923077,,50.707692307692305,18.9,
2026-02-15 15:30:00-05:00,35.047761194029846,,29.01194029850746,61.74477611940298,,52.134328358208954,18.97,
2026-02-15 16:00:00-05:00,34.98235294117647,,28.601470588235294,63.120588235294115,,53.720588235294116,18.98,
2026-02-15 16:30:00-05:00,34.996875,,28.2859375,62.1375,,55.8125,18.94,
