created_at,temp_cria,temp_mielera,temp_exterior,humedad_cria,humedad_mielera,humedad_exterior,peso_total,peso_mielera,estado,temp_mean,temp_min,temp_max,temp_std,temp_cv,pct_tiempo_optimo
2026-02-12 22:00:00-05:00,,,,,,,2.99,,SinDato,,,,,,0.0
2026-02-12 22:30:00-05:00,,,,,,,3.77,,SinDato,,,,,,0.0
2026-02-13 10:00:00-05:00,26.4,,,68.9,,,13.93,,Critico,26.4,26.4,26.4,,,0.0
2026-02-13 10:30:00-05:00,26.625396825396827,,,68.22222222222223,,,13.93,,Critico,26.512698412698413,26.4,26.625396825396827,0.1593796236960174,0.6011444825988803,0.0
2026-02-13 11:00:00-05:00,26.784,,,67.318,,,13.93,,Critico,26.60313227513227,26.4,26.784,0.19296575511956038,0.7253497562764005,0.0
2026-02-13 11:30:00-05:00,26.95,,,67.125,,,13.93,,Critico,26.689849206349205,26.4,26.95,0.2343142328967009,0.8779151619970946,0.0
2026-02-13 12:00:00-05:00,27.0,,,67.08,,,13.93,,Critico,26.75187936507937,26.4,27.0,0.24579681194824435,0.9188020347800157,0.0
2026-02-13 13:00:00-05:00,,,,,,,13.93,,SinDato,26.75187936507937,26.4,27.0,0.24579681194824435,0.9188020347800157,0.0
2026-02-13 14:30:00-05:00,,,,,,,13.93,,SinDato,26.75187936507937,26.4,27.0,0.24579681194824435,0.9188020347800157,0.0
2026-02-13 15:00:00-05:00,,,,,,,13.93,,SinDato,26.75187936507937,26.4,27.0,0.24579681194824435,0.9188020347800157,0.0
2026-02-13 19:00:00-05:00,28.068181818181817,,28.82631578947369,64.45,,51.31578947368421,0.12,,Critico,26.97126310726311,26.4,28.068181818181817,0.5806102102257522,2.1526993671623753,0.0
2026-02-13 19:30:00-05:00,27.660377358490567,,28.00188679245283,64.5811320754717,,53.09433962264151,11.81,,Critico,27.069708000295602,26.4,28.068181818181817,0.5905618445722531,2.181633597842297,0.0
2026-02-13 22:30:00-05:00,37.8,,26.1,45.63333333333333,,55.5,11.78,,Critico,28.410994500258653,26.4,37.8,3.8329278319142976,13.491001984740109,0.0
2026-02-14 10:00:00-05:00,,,,,,,18.64,,SinDato,28.410994500258653,26.4,37.8,3.8329278319142976,13.491001984740109,0.0
2026-02-14 10:30:00-05:00,39.98846153846154,,35.125,54.57115384615384,,40.59615384615385,16.14,,Critico,29.69737972672564,26.4,39.98846153846154,5.267637169731136,17.73771699120855,0.0
2026-02-14 11:00:00-05:00,37.59117647058823,,34.88823529411765,65.32941176470588,,40.60294117647059,18.87,,SinDato,30.486759401111897,26.4,39.98846153846154,5.558425387998721,18.23226048681316,0.0
2026-02-14 11:30:00-05:00,37.38955223880597,,34.98059701492537,65.8910447761194,,40.53731343283582,18.9,,Critico,31.114286022720453,26.4,39.98846153846154,5.669053693841303,18.220098927231092,0.0
2026-02-14 12:00:00-05:00,36.81029411764706,,36.16764705882353,65.71323529411765,,38.47058823529412,19.0,,Critico,31.588953363964336,26.4,39.98846153846154,5.649798846265592,17.88536258599407,0.0
2026-02-14 12:30:00-05:00,37.17794117647059,,36.67794117647059,68.38823529411764,,36.80882352941177,19.03,,Critico,32.018875503387896,26.4,39.98846153846154,5.62699188589163,17.573983462649213,0.0
2026-02-14 13:00:00-05:00,36.46176470588235,,35.101470588235294,68.175,,39.52941176470589,19.04,,Critico,32.336224732137495,26.4,39.98846153846154,5.535103148302263,17.11734500286664,0.0
2026-02-14 13:30:00-05:00,35.72941176470588,,33.31911764705882,69.12941176470588,,42.98529411764706,19.02,,Normal,32.56243720097539,26.4,39.98846153846154,5.405234937623086,16.59960187949683,4.761904761904762
2026-02-14 14:00:00-05:00,35.3171875,,31.496875,64.4421875,,45.296875,19.07,,Normal,32.73460909466443,26.4,39.98846153846154,5.267170428651865,16.090524904146132,9.090909090909092
2026-02-14 14:30:00-05:00,34.77462686567164,,30.211940298507464,61.223880597014926,,46.0,18.96,,Normal,32.85461014001779,26.4,39.98846153846154,5.123860441039153,15.59556001182968,13.043478260869565
2026-02-14 15:00:00-05:00,34.58688524590164,,29.337704918032784,65.14754098360656,,48.44262295081968,18.88,,Normal,32.950847645900225,26.4,39.98846153846154,4.987615251887935,15.136530949025524,16.666666666666664
2026-02-14 15:30:00-05:00,34.630303030303025,,28.52878787878788,67.71363636363637,,50.63636363636363,18.84,,Normal,33.039240034553,26.4,39.98846153846154,4.862380073527343,14.716985222548045,20.0
